entity,iso_code,date,indicator,value
United States,USA,07/07/2021,Daily ICU occupancy,4132
United States,USA,07/07/2021,Daily ICU occupancy per million,12.214
United States,USA,07/07/2021,Daily hospital occupancy,14664
United States,USA,07/07/2021,Daily hospital occupancy per million,43.347
United States,USA,07/07/2021,Weekly new hospital admissions,15499
United States,USA,07/07/2021,Weekly new hospital admissions per million,45.816
United States,USA,08/07/2021,Daily ICU occupancy,4297
United States,USA,08/07/2021,Daily ICU occupancy per million,12.702
United States,USA,08/07/2021,Daily hospital occupancy,15074
United States,USA,08/07/2021,Daily hospital occupancy per million,44.559
United States,USA,08/07/2021,Weekly new hospital admissions,16109
United States,USA,08/07/2021,Weekly new hospital admissions per million,47.619
United States,USA,09/07/2021,Daily ICU occupancy,4369
United States,USA,09/07/2021,Daily ICU occupancy per million,12.915
United States,USA,09/07/2021,Daily hospital occupancy,15409
United States,USA,09/07/2021,Daily hospital occupancy per million,45.55
United States,USA,09/07/2021,Weekly new hospital admissions,16539
United States,USA,09/07/2021,Weekly new hospital admissions per million,48.89
United States,USA,10/07/2021,Daily ICU occupancy,4442
United States,USA,10/07/2021,Daily ICU occupancy per million,13.131
United States,USA,10/07/2021,Daily hospital occupancy,15710
United States,USA,10/07/2021,Daily hospital occupancy per million,46.439
United States,USA,10/07/2021,Weekly new hospital admissions,17226
United States,USA,10/07/2021,Weekly new hospital admissions per million,50.921
United States,USA,11/07/2021,Daily ICU occupancy,4637
United States,USA,11/07/2021,Daily ICU occupancy per million,13.707
United States,USA,11/07/2021,Daily hospital occupancy,16396
United States,USA,11/07/2021,Daily hospital occupancy per million,48.467
United States,USA,11/07/2021,Weekly new hospital admissions,17910
United States,USA,11/07/2021,Weekly new hospital admissions per million,52.943
United States,USA,12/07/2021,Daily ICU occupancy,4883
United States,USA,12/07/2021,Daily ICU occupancy per million,14.434
United States,USA,12/07/2021,Daily hospital occupancy,17330
United States,USA,12/07/2021,Daily hospital occupancy per million,51.228
